Sequence ID,Novelty Status,Top Hit,Top Identity (%)
gemma2_ompT_binder_1,Novel,,0.0
gemma2_ompT_binder_10,Novel,,0.0
gemma2_ompT_binder_100,Novel,,0.0
gemma2_ompT_binder_11,Novel,,0.0
gemma2_ompT_binder_12,Novel,,0.0
gemma2_ompT_binder_13,Novel,,0.0
gemma2_ompT_binder_14,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_15,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_16,Novel,,0.0
gemma2_ompT_binder_17,Novel,,0.0
gemma2_ompT_binder_18,Novel,,0.0
gemma2_ompT_binder_19,Novel,,0.0
gemma2_ompT_binder_2,Novel,,0.0
gemma2_ompT_binder_20,Novel,,0.0
gemma2_ompT_binder_21,Novel,,0.0
gemma2_ompT_binder_22,Novel,,0.0
gemma2_ompT_binder_23,Novel,,0.0
gemma2_ompT_binder_24,Novel,,0.0
gemma2_ompT_binder_25,Novel,,0.0
gemma2_ompT_binder_26,Novel,,0.0
gemma2_ompT_binder_27,Novel,,0.0
gemma2_ompT_binder_28,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_29,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_3,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_30,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_31,Novel,sp|Q63132.1| RecName: Full=Proto-oncogene tyrosine-protein kinase ROS; AltName: Full=Proto-oncogene c-Ros; AltName: Full=Proto-oncogene c-Ros-1; AltName: Full=Receptor tyrosine kinase c-ros oncogene 1; AltName: Full=c-Ros receptor tyrosine kinase; Flags: Precursor [Rattus norvegicus],60.0
gemma2_ompT_binder_32,Novel,,0.0
gemma2_ompT_binder_33,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_34,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_35,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_36,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_37,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_38,Novel,,0.0
gemma2_ompT_binder_39,Novel,sp|A0AJL3.1| RecName: Full=Heptaprenylglyceryl phosphate synthase; Short=HepGP synthase; AltName: Full=Glycerol-1-phosphate heptaprenyltransferase [Listeria welshimeri serovar 6b str. SLCC5334],60.0
gemma2_ompT_binder_4,Novel,,0.0
gemma2_ompT_binder_40,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_41,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_42,Unknown (BLAST failed),BLAST analysis failed,0.0
gemma2_ompT_binder_43,Novel,sp|Q6FX42.1| RecName: Full=Serine/threonine-protein kinase MEC1; AltName: Full=ATR homolog; AltName: Full=DNA-damage checkpoint kinase MEC1; AltName: Full=Mitosis entry checkpoint protein 1 [Nakaseomyces glabratus CBS 138],50.0
gemma2_ompT_binder_44,Novel,,0.0
gemma2_ompT_binder_45,Novel,,0.0
gemma2_ompT_binder_46,Novel,,0.0
gemma2_ompT_binder_47,Novel,,0.0
gemma2_ompT_binder_48,Novel,sp|Q92845.2| RecName: Full=Kinesin-associated protein 3; Short=KAP-3; Short=KAP3; AltName: Full=Smg GDS-associated protein [Homo sapiens],60.0
gemma2_ompT_binder_49,Novel,,0.0
